NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
59-0	0.5553	0.2167	0.3819	0.5360	0.2990	0.7609	0.4317	0.4566	0.0000	0.0000
60-0	0.5517	0.2000	0.4022	0.5459	0.2678	0.7780	0.4470	0.4547	0.0000	0.0071
61-0	0.5417	0.2250	0.3906	0.5781	0.2856	0.7715	0.4287	0.4745	0.0000	0.0000
62-0	0.5391	0.2000	0.3934	0.5621	0.2736	0.7766	0.4508	0.4941	0.0000	0.0036
63-0	0.5378	0.1667	0.3744	0.5973	0.2734	0.7815	0.4469	0.4862	0.0000	0.0036
64-0	0.5468	0.2000	0.3914	0.5678	0.2926	0.7917	0.4426	0.4817	0.0053	0.0000
65-0	0.5458	0.2000	0.4280	0.5574	0.2979	0.7806	0.4443	0.4869	0.0000	0.0000
66-0	0.5644	0.2500	0.4079	0.5803	0.2841	0.7893	0.4259	0.4794	0.0000	0.0073
67-0	0.5463	0.2000	0.4551	0.5470	0.2923	0.7984	0.4554	0.4898	0.0053	0.0108
68-0	0.5572	0.2000	0.4620	0.5981	0.2902	0.7908	0.4556	0.4830	0.0000	0.0073
69-0	0.5561	0.2000	0.4678	0.5954	0.2941	0.7873	0.4676	0.4891	0.0056	0.0110
70-0	0.5672	0.2000	0.4641	0.5620	0.3020	0.7930	0.4612	0.4677	0.0056	0.0073
71-0	0.5687	0.2667	0.4767	0.5546	0.3069	0.7863	0.4804	0.4775	0.0000	0.0073
72-0	0.5732	0.2667	0.4766	0.5817	0.3251	0.7881	0.4682	0.4780	0.0059	0.0108
73-0	0.5666	0.2667	0.4512	0.5913	0.3001	0.7953	0.4536	0.4855	0.0059	0.0073
74-0	0.5562	0.2667	0.4453	0.5761	0.3182	0.7902	0.4781	0.4874	0.0059	0.0073
75-0	0.5501	0.2667	0.4481	0.5803	0.3311	0.8110	0.4851	0.4916	0.0059	0.0037
76-0	0.5571	0.3000	0.4697	0.5876	0.3421	0.8230	0.4933	0.4858	0.0059	0.0075
77-0	0.5453	0.3333	0.4542	0.5977	0.3479	0.8078	0.5100	0.4876	0.0059	0.0074
78-0	0.5640	0.3250	0.4538	0.5714	0.3246	0.8189	0.4886	0.4771	0.0059	0.0074
79-0	0.5610	0.3583	0.4629	0.5834	0.3402	0.8084	0.4799	0.4974	0.0059	0.0000
80-0	0.5499	0.3250	0.4558	0.5909	0.3462	0.8080	0.4831	0.5234	0.0059	0.0000
81-0	0.5447	0.3250	0.4639	0.6021	0.3405	0.8046	0.4938	0.5146	0.0059	0.0037
82-0	0.5604	0.3333	0.4385	0.6216	0.3420	0.8179	0.5126	0.4958	0.0059	0.0075
83-0	0.5354	0.3500	0.4469	0.6061	0.3448	0.8173	0.5074	0.5119	0.0059	0.0077
84-0	0.5365	0.2917	0.4511	0.5978	0.3492	0.8222	0.5137	0.5158	0.0059	0.0038
85-0	0.5445	0.2583	0.4444	0.6290	0.3370	0.8084	0.5049	0.5192	0.0000	0.0037
86-0	0.5415	0.3417	0.4446	0.6312	0.3477	0.8143	0.5230	0.5170	0.0059	0.0038
87-0	0.5629	0.2833	0.4600	0.6238	0.3510	0.8132	0.5260	0.4937	0.0059	0.0114
88-0	0.5628	0.3417	0.4760	0.5940	0.3493	0.8204	0.5046	0.5072	0.0059	0.0038
89-0	0.5654	0.3500	0.4657	0.6341	0.3574	0.8155	0.5040	0.5093	0.0059	0.0077
90-0	0.5606	0.3500	0.4619	0.6121	0.3491	0.8258	0.5072	0.5097	0.0059	0.0000
91-0	0.5458	0.3250	0.4587	0.6451	0.3582	0.8231	0.5141	0.5204	0.0059	0.0113
92-0	0.5462	0.3667	0.4672	0.6416	0.3436	0.8179	0.5116	0.5125	0.0059	0.0153
93-0	0.5412	0.4000	0.4575	0.6492	0.3740	0.8323	0.5094	0.5222	0.0059	0.0117
94-0	0.5471	0.3333	0.4595	0.6257	0.3739	0.8306	0.5045	0.5240	0.0059	0.0077
95-0	0.5465	0.4000	0.4828	0.6633	0.3758	0.8187	0.5123	0.5218	0.0000	0.0153
96-0	0.5386	0.4000	0.4741	0.6252	0.3604	0.8252	0.5130	0.5325	0.0000	0.0153
97-0	0.5340	0.4000	0.4773	0.6166	0.3836	0.8264	0.5274	0.5240	0.0059	0.0115
98-0	0.5430	0.3667	0.4667	0.6225	0.3825	0.8270	0.5197	0.5360	0.0059	0.0115
99-0	0.5425	0.3667	0.4799	0.6189	0.3712	0.8281	0.5185	0.5333	0.0059	0.0115
100-0	0.5446	0.3667	0.4928	0.6267	0.3659	0.8240	0.5239	0.5298	0.0059	0.0153
101-0	0.5395	0.3333	0.4775	0.6382	0.3717	0.8214	0.5161	0.5288	0.0000	0.0077
102-0	0.5404	0.4000	0.4547	0.6521	0.3836	0.8244	0.5186	0.5331	0.0059	0.0115
103-0	0.5312	0.3000	0.4592	0.6410	0.3577	0.8237	0.5188	0.5327	0.0059	0.0115
104-0	0.5317	0.3333	0.4772	0.6397	0.3712	0.8203	0.5220	0.5305	0.0059	0.0078
105-0	0.5481	0.3333	0.4792	0.6739	0.3677	0.8256	0.5280	0.5273	0.0000	0.0078
106-0	0.5454	0.4000	0.4932	0.6346	0.3711	0.8223	0.5345	0.5230	0.0059	0.0077
107-0	0.5403	0.4000	0.4824	0.6658	0.3625	0.8189	0.5274	0.5311	0.0059	0.0078
108-0	0.5405	0.3667	0.4953	0.6831	0.3559	0.8275	0.5388	0.5233	0.0000	0.0077
109-0	0.5434	0.3333	0.5086	0.6692	0.3671	0.8274	0.5402	0.5280	0.0059	0.0077
110-0	0.5336	0.4000	0.5246	0.6697	0.3654	0.8215	0.5398	0.5414	0.0059	0.0117
111-0	0.5360	0.4333	0.5150	0.6796	0.3590	0.8119	0.5507	0.5373	0.0059	0.0078
112-0	0.5324	0.4000	0.4978	0.7109	0.3682	0.8339	0.5333	0.5341	0.0000	0.0117
113-0	0.5292	0.3667	0.5112	0.6890	0.3625	0.8311	0.5270	0.5437	0.0059	0.0078
114-0	0.5286	0.4333	0.5105	0.7027	0.3455	0.8350	0.5310	0.5395	0.0000	0.0000
115-0	0.5325	0.4667	0.4903	0.6865	0.3664	0.8355	0.5327	0.5380	0.0000	0.0078
116-0	0.5252	0.4000	0.4968	0.6782	0.3577	0.8448	0.5355	0.5425	0.0000	0.0117
117-0	0.5261	0.3667	0.4922	0.6808	0.3542	0.8374	0.5377	0.5433	0.0059	0.0078
118-0	0.5238	0.4667	0.5056	0.7084	0.3572	0.8387	0.5452	0.5463	0.0000	0.0077
119-0	0.5295	0.3000	0.4847	0.7040	0.3768	0.8309	0.5292	0.5417	0.0000	0.0117
120-0	0.5276	0.4000	0.5128	0.6920	0.3725	0.8402	0.5387	0.5453	0.0059	0.0117
121-0	0.5233	0.3667	0.5061	0.7152	0.3683	0.8380	0.5358	0.5480	0.0059	0.0077
122-0	0.5383	0.4333	0.5114	0.7071	0.3668	0.8417	0.5326	0.5361	0.0059	0.0077
123-0	0.5297	0.4333	0.4950	0.7314	0.3474	0.8451	0.5387	0.5510	0.0000	0.0118
124-0	0.5362	0.3667	0.5164	0.7168	0.3582	0.8402	0.5515	0.5376	0.0059	0.0118
125-0	0.5299	0.3000	0.5042	0.7361	0.3503	0.8430	0.5351	0.5501	0.0000	0.0078
126-0	0.5362	0.2667	0.5220	0.7338	0.3443	0.8464	0.5392	0.5469	0.0059	0.0082
127-0	0.5360	0.4000	0.5289	0.7166	0.3456	0.8356	0.5459	0.5495	0.0000	0.0082
128-0	0.5285	0.3833	0.5380	0.7166	0.3552	0.8342	0.5473	0.5528	0.0059	0.0123
129-0	0.5324	0.3500	0.5308	0.7356	0.3707	0.8455	0.5424	0.5498	0.0000	0.0082
130-0	0.5362	0.3500	0.5382	0.7156	0.3596	0.8434	0.5365	0.5480	0.0000	0.0120
131-0	0.5363	0.3500	0.5396	0.7236	0.3899	0.8499	0.5385	0.5506	0.0000	0.0078
132-0	0.5287	0.3500	0.5205	0.7374	0.3835	0.8417	0.5455	0.5643	0.0000	0.0040
133-0	0.5315	0.3167	0.5312	0.7157	0.3731	0.8509	0.5408	0.5525	0.0000	0.0082
134-0	0.5414	0.3167	0.5139	0.7460	0.3843	0.8502	0.5496	0.5447	0.0000	0.0077
135-0	0.5450	0.3500	0.5140	0.7148	0.3811	0.8576	0.5384	0.5423	0.0118	0.0040
136-0	0.5364	0.3500	0.5233	0.7294	0.3844	0.8481	0.5409	0.5479	0.0059	0.0078
137-0	0.5286	0.3167	0.5238	0.6980	0.3864	0.8569	0.5455	0.5488	0.0059	0.0040
138-0	0.5335	0.3167	0.5352	0.7482	0.3717	0.8575	0.5375	0.5609	0.0000	0.0040
139-0	0.5292	0.3500	0.5321	0.7243	0.3824	0.8502	0.5485	0.5597	0.0000	0.0040
140-0	0.5420	0.3333	0.5416	0.7225	0.3827	0.8508	0.5545	0.5464	0.0059	0.0082
141-0	0.5417	0.3667	0.5078	0.7503	0.3744	0.8507	0.5488	0.5505	0.0000	0.0040
142-0	0.5447	0.3667	0.5222	0.7554	0.3667	0.8568	0.5504	0.5499	0.0000	0.0082
143-0	0.5503	0.3000	0.5395	0.7708	0.3798	0.8458	0.5506	0.5447	0.0059	0.0078
144-0	0.5415	0.3000	0.5187	0.7484	0.3775	0.8516	0.5462	0.5380	0.0059	0.0040
145-0	0.5436	0.3667	0.5366	0.7560	0.3772	0.8566	0.5431	0.5491	0.0059	0.0040
146-0	0.5438	0.2667	0.5405	0.7418	0.3813	0.8621	0.5402	0.5565	0.0000	0.0082
147-0	0.5564	0.3333	0.5232	0.7564	0.3681	0.8540	0.5388	0.5554	0.0000	0.0083
148-0	0.5461	0.3333	0.5258	0.7649	0.3799	0.8545	0.5425	0.5555	0.0000	0.0083
149-0	0.5427	0.4000	0.5146	0.7603	0.3895	0.8539	0.5377	0.5667	0.0118	0.0038
150-0	0.5413	0.3667	0.5198	0.7216	0.3747	0.8546	0.5348	0.5658	0.0000	0.0038
