NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
59-1	0.3465	0.0065	0.1075	0.1340	0.2270	0.1965	0.3910	0.3800	0.0155	0.0945
60-1	0.3360	0.0565	0.1190	0.1895	0.2315	0.3170	0.3715	0.2625	0.0075	0.0730
61-7	0.3145	0.0235	0.1725	0.1715	0.2025	0.1665	0.3620	0.2890	0.0185	0.1105
62-1	0.3110	0.0600	0.0945	0.1165	0.1880	0.2140	0.3520	0.2710	0.0065	0.0465
63-5	0.3835	0.0140	0.0340	0.0890	0.1540	0.2170	0.3595	0.2735	0.0385	0.0950
64-1	0.3585	0.0365	0.0935	0.1310	0.1630	0.1710	0.2645	0.2930	0.0330	0.0735
65-6	0.3670	0.0315	0.0405	0.1055	0.1660	0.2755	0.2555	0.3520	0.0390	0.0420
66-1	0.3160	0.0595	0.0695	0.1235	0.2030	0.2260	0.3050	0.3110	0.0050	0.0815
67-6	0.4240	0.0055	0.1015	0.1135	0.2195	0.1715	0.3305	0.3345	0.0110	0.1020
68-1	0.3070	0.0040	0.0640	0.0935	0.1675	0.2720	0.2700	0.2865	0.0070	0.0910
69-10	0.3210	0.0405	0.0590	0.0890	0.1260	0.1600	0.2095	0.2245	0.0070	0.0745
70-7	0.3030	0.0325	0.0940	0.0935	0.1325	0.2030	0.2990	0.2710	0.0230	0.0895
71-2	0.2280	0.1065	0.2220	0.2145	0.1975	0.0975	0.2140	0.1970	0.0375	0.1210
72-4	0.3255	0.0190	0.0880	0.1280	0.1960	0.1860	0.3310	0.3255	0.0100	0.1220
73-5	0.3410	0.0195	0.0875	0.0860	0.1570	0.2225	0.2555	0.2730	0.0120	0.1165
74-6	0.3165	0.0240	0.1240	0.1495	0.2100	0.1390	0.3550	0.3130	0.0325	0.0510
75-1	0.3240	0.0555	0.1520	0.0495	0.0980	0.1560	0.2785	0.3695	0.0155	0.0605
76-8	0.2295	0.0475	0.0795	0.0825	0.1410	0.1190	0.2755	0.2875	0.0140	0.1240
77-8	0.3205	0.0885	0.1405	0.0790	0.1645	0.1195	0.2880	0.2435	0.0180	0.1300
78-7	0.3310	0.0195	0.1910	0.1680	0.2530	0.1260	0.3035	0.3235	0.0195	0.0675
79-1	0.3435	0.0075	0.0150	0.0255	0.0695	0.1620	0.2015	0.3825	0.0060	0.0325
80-6	0.4400	0.0270	0.1115	0.1275	0.2180	0.1655	0.3185	0.3660	0.0165	0.0430
81-7	0.2245	0.0320	0.1470	0.1995	0.2525	0.1205	0.2965	0.2175	0.0295	0.0755
82-7	0.2880	0.0315	0.0850	0.1135	0.1860	0.1940	0.2960	0.3665	0.0185	0.0400
83-5	0.3255	0.0480	0.1090	0.0970	0.2355	0.1570	0.2200	0.2930	0.0400	0.1210
84-5	0.3605	0.0045	0.1400	0.1565	0.1960	0.1225	0.3945	0.3575	0.0245	0.0865
85-8	0.2960	0.0390	0.0830	0.1105	0.1520	0.2890	0.2275	0.2940	0.0020	0.0630
86-8	0.3665	0.0150	0.0955	0.0840	0.1585	0.2190	0.3465	0.3875	0.0135	0.0775
87-1	0.3270	0.0180	0.1470	0.2175	0.2360	0.1775	0.3115	0.2760	0.0355	0.0395
88-3	0.4165	0.0170	0.0765	0.1195	0.1515	0.1585	0.3400	0.3530	0.0155	0.1195
89-1	0.3455	0.0385	0.2070	0.2445	0.2015	0.2175	0.3010	0.3530	0.0235	0.1055
90-2	0.2975	0.0360	0.1225	0.1600	0.2020	0.1780	0.3565	0.3250	0.0045	0.0895
91-8	0.3970	0.0005	0.0870	0.0790	0.1610	0.1835	0.3265	0.3880	0.0125	0.0735
92-7	0.3285	0.0140	0.1655	0.2365	0.2745	0.1880	0.2775	0.1905	0.0395	0.0840
93-6	0.4020	0.0005	0.1090	0.1185	0.1120	0.2410	0.4030	0.4090	0.0555	0.0425
94-9	0.2815	0.0215	0.2290	0.2580	0.2005	0.2075	0.3605	0.3065	0.0055	0.0675
95-7	0.2565	0.0215	0.2015	0.2505	0.3520	0.2080	0.3295	0.2175	0.0365	0.1355
96-8	0.3030	0.0110	0.1260	0.1010	0.1925	0.1660	0.3350	0.4375	0.0365	0.0940
97-1	0.3290	0.0170	0.0525	0.1460	0.2110	0.1785	0.2920	0.2745	0.0120	0.0865
98-4	0.3380	0.0515	0.1015	0.0715	0.1855	0.1710	0.3575	0.3460	0.0075	0.0495
99-8	0.4155	0.1255	0.1535	0.1625	0.2655	0.1655	0.3625	0.3135	0.0220	0.0970
100-8	0.3855	0.0145	0.1055	0.0870	0.1660	0.1835	0.3830	0.3675	0.0115	0.0665
101-8	0.3845	0.0430	0.2500	0.1725	0.2840	0.1090	0.3610	0.3165	0.0195	0.0665
102-1	0.3075	0.0130	0.1400	0.0980	0.2630	0.1640	0.3695	0.2585	0.0600	0.0895
103-1	0.3705	0.0055	0.0530	0.0965	0.1795	0.3070	0.3480	0.3940	0.0635	0.0450
104-8	0.4220	0.0160	0.1960	0.1330	0.1725	0.1030	0.4325	0.4170	0.0150	0.0685
105-4	0.4145	0.0785	0.2040	0.1380	0.1920	0.1950	0.3875	0.3430	0.0270	0.0870
106-3	0.4420	0.0300	0.1230	0.2120	0.3070	0.2245	0.4415	0.3320	0.0315	0.1390
107-7	0.4285	0.0040	0.0760	0.1400	0.1770	0.2135	0.4385	0.2785	0.0155	0.1080
108-5	0.4485	0.0120	0.1530	0.0715	0.1970	0.1565	0.4100	0.4095	0.0320	0.1175
109-1	0.4835	0.0125	0.1195	0.0990	0.1680	0.2095	0.4205	0.4445	0.0215	0.0840
110-6	0.3820	0.0080	0.0955	0.1065	0.1655	0.2105	0.3955	0.3950	0.0855	0.0320
111-1	0.4185	0.0025	0.1780	0.1060	0.2450	0.2000	0.4340	0.3885	0.0335	0.1050
112-6	0.3990	0.0050	0.1020	0.1795	0.2985	0.3465	0.3425	0.3780	0.0585	0.0855
113-1	0.4135	0.0040	0.1130	0.1160	0.2500	0.2020	0.4895	0.4035	0.0210	0.0715
114-7	0.3490	0.0075	0.1400	0.1360	0.2865	0.1205	0.3910	0.3160	0.0560	0.0755
115-8	0.4565	0.0055	0.0835	0.0995	0.1220	0.2055	0.4165	0.4450	0.0245	0.0920
116-3	0.4525	0.0335	0.1265	0.1725	0.3010	0.3175	0.4960	0.4720	0.0435	0.0790
117-7	0.4100	0.0005	0.1165	0.0865	0.1905	0.1685	0.4300	0.3810	0.0470	0.0920
118-5	0.3515	0.0105	0.1145	0.1760	0.1870	0.2270	0.4325	0.3130	0.0830	0.0860
119-6	0.3370	0.0290	0.2270	0.2085	0.3295	0.1920	0.3470	0.2655	0.0190	0.0800
120-1	0.5445	0.0110	0.0825	0.0570	0.1745	0.2250	0.4620	0.4945	0.0435	0.0775
