NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
59-10	0.0050	0.0000	0.3000	0.1700	0.3500	0.0000	0.0350	0.1200	0.0000	0.0150
60-1	0.0700	0.0000	0.0050	0.0000	0.0050	0.2200	0.0500	1.0700	0.0000	0.0550
61-8	0.5900	0.0000	0.0000	0.0000	0.0000	0.0250	0.0400	0.7400	0.0000	0.0050
62-6	0.0300	0.0000	0.0000	0.0050	0.0100	1.4900	0.0450	1.3700	0.0000	0.0000
63-7	0.4100	0.0000	0.0100	0.0100	0.0700	0.0100	0.4300	0.1900	0.0000	0.0100
64-7	0.1000	0.0000	0.0050	0.0000	0.0000	0.0000	0.2700	0.2750	0.0000	0.0000
65-1	0.0250	0.0000	0.1150	0.0000	0.4600	0.0150	0.4300	0.1100	0.0000	0.0150
66-1	0.1250	0.0000	0.0000	0.0000	0.9700	0.0450	0.0150	1.1350	0.0000	0.0000
67-6	0.0100	0.0000	0.0000	0.0150	0.0500	5.2050	0.0250	0.0700	0.0000	0.0100
68-6	0.0000	0.0000	0.0000	0.0050	0.0050	6.6350	0.0050	0.0900	0.0000	0.0000
69-4	0.0000	0.0000	0.0050	0.5400	0.0100	4.2250	0.0950	0.0950	0.0000	0.0250
70-10	0.1050	0.0000	0.0000	0.6200	0.6500	0.0000	0.0300	0.2250	0.0000	0.1150
71-4	0.0000	0.0000	0.0300	3.0750	0.1550	0.8900	0.0050	0.0000	0.0000	0.0500
72-1	0.2350	0.0000	0.0150	0.0000	0.0150	0.0300	0.3600	0.3800	0.0000	0.0000
73-9	0.2550	0.0000	0.2300	0.0050	0.2950	0.0500	0.2750	0.1250	0.0000	0.0100
74-6	0.0000	0.0000	0.0000	1.4450	0.0000	2.0850	0.1150	0.1450	0.0000	0.0400
75-1	0.4200	0.0000	0.0000	0.0000	0.0000	0.0100	0.2900	0.4100	0.0000	0.0000
76-6	0.0150	0.0000	0.0000	0.0500	0.0150	5.6300	0.0050	0.0850	0.0000	0.0150
77-7	0.1350	0.0000	0.0000	0.0000	0.0550	0.0750	0.5550	0.5500	0.0000	0.0050
78-8	0.0000	0.0000	0.0000	0.4200	0.0000	6.3850	0.0050	0.0100	0.0000	0.0500
79-1	0.4650	0.0000	0.0100	0.0000	0.0100	0.0400	0.5000	0.4150	0.0300	0.0000
80-1	2.3850	0.0000	0.0050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81-8	0.8650	0.0000	0.0000	0.0000	0.0000	0.0050	0.0400	0.8550	0.0000	0.0000
82-10	0.0000	0.0000	0.0000	0.0000	0.0000	7.5250	0.0000	0.0400	0.0000	0.0000
83-8	0.2350	0.0000	0.0000	0.0000	0.0200	0.0750	0.0200	2.5100	0.0000	0.0000
84-6	0.0200	0.0000	0.0000	0.0000	0.0150	1.0450	0.0700	1.1050	0.0000	0.0000
85-6	0.0450	0.0000	0.0000	0.0150	0.1550	0.3950	0.4300	0.4350	0.0050	0.0000
86-1	1.4450	0.0000	0.0000	0.0000	0.0000	0.0200	0.0550	1.3600	0.0000	0.0000
87-4	0.0000	0.0000	0.0050	3.5200	0.0750	0.0700	0.0000	0.0700	0.0000	0.0350
88-1	1.0900	0.0000	0.0000	0.0000	0.0050	0.0050	0.1250	1.0800	0.0050	0.0000
89-1	3.7950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
90-1	4.3000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
91-6	0.0000	0.0000	0.0050	0.2650	0.0100	0.3650	0.3050	0.3050	0.0000	0.0650
92-7	3.9400	0.0000	0.0050	0.0000	0.0200	0.0000	0.2350	0.2600	0.0150	0.0000
93-1	0.9800	0.0000	0.0050	0.0000	0.0000	0.0200	0.0450	2.7550	0.0000	0.0000
94-4	0.0000	0.0000	0.0050	5.0200	0.0100	0.0400	0.0200	0.0200	0.0000	0.0450
95-1	5.8650	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
96-8	1.5400	0.0000	0.0000	0.0000	0.0350	0.0300	0.0100	1.7400	0.0050	0.0000
97-2	0.0000	0.0000	0.0650	1.0500	1.0500	0.0000	0.0800	0.0550	0.0050	0.1600
98-8	0.9100	0.0000	0.0000	0.0000	0.0000	0.0150	0.0550	2.8150	0.0000	0.0000
