NumberOfSamples	CYT	ERL	EXC	ME1	ME2	ME3	MIT	NUC	POX	VAC	
59-1	0.2769	0.0000	0.2059	0.4872	0.3913	0.6623	0.2954	0.7824	0.0000	0.0000
60-10	0.2659	0.0000	0.1471	0.5128	0.3043	0.6490	0.3586	0.7726	0.0000	0.0000
61-1	0.2996	0.0000	0.1176	0.4359	0.3261	0.6623	0.3291	0.7433	0.0000	0.0000
62-8	0.3194	0.0000	0.1471	0.4872	0.2826	0.6755	0.3882	0.7475	0.0000	0.0000
63-6	0.2797	0.0000	0.1765	0.5128	0.3261	0.7133	0.3207	0.7598	0.0000	0.0357
64-7	0.2797	0.0000	0.1176	0.5128	0.3261	0.7133	0.5424	0.7623	0.0000	0.0000
65-7	0.2511	0.0000	0.1176	0.5128	0.3261	0.7200	0.5617	0.7574	0.0000	0.0000
66-1	0.2627	0.0000	0.1176	0.5128	0.3261	0.7133	0.5617	0.7721	0.0000	0.0357
67-1	0.3075	0.0000	0.1471	0.5128	0.2826	0.7200	0.5957	0.7353	0.0000	0.0000
68-6	0.2942	0.0000	0.1176	0.5128	0.3043	0.7047	0.5915	0.7402	0.0000	0.0000
69-6	0.3097	0.0000	0.1471	0.5128	0.2826	0.7230	0.5872	0.7059	0.0000	0.0357
70-4	0.3075	0.0000	0.1176	0.5526	0.3043	0.7162	0.5489	0.7157	0.0000	0.0000
71-10	0.3230	0.0000	0.1471	0.5526	0.2174	0.7162	0.6255	0.7206	0.0000	0.1111
72-4	0.2788	0.0000	0.1765	0.5405	0.2174	0.6892	0.5872	0.7157	0.0000	0.1111
73-1	0.3481	0.0000	0.1176	0.5676	0.2174	0.6892	0.5957	0.6593	0.0000	0.0741
74-9	0.3902	0.0000	0.0882	0.5405	0.2609	0.7027	0.5404	0.6961	0.0000	0.0741
75-6	0.3858	0.0000	0.1176	0.5405	0.2391	0.7143	0.4936	0.7083	0.0000	0.0741
76-1	0.4111	0.0000	0.1471	0.5405	0.2174	0.7143	0.5957	0.6740	0.0000	0.0741
77-6	0.3978	0.0000	0.1176	0.5405	0.1957	0.7055	0.5277	0.7059	0.0000	0.0741
78-7	0.4000	0.0000	0.0882	0.5676	0.1739	0.7123	0.5684	0.6520	0.0000	0.1111
79-8	0.4111	0.0000	0.0294	0.5405	0.1957	0.6849	0.5214	0.6511	0.0000	0.0741
80-1	0.4053	0.0000	0.1176	0.5405	0.2174	0.6918	0.4957	0.6708	0.0000	0.1111
81-1	0.4353	0.0000	0.1176	0.5405	0.2174	0.6986	0.5299	0.6708	0.0000	0.0741
82-8	0.3728	0.0000	0.1471	0.5405	0.2609	0.6986	0.5043	0.6847	0.0000	0.1111
83-10	0.3817	0.0000	0.0588	0.5405	0.2609	0.6438	0.5299	0.6970	0.0000	0.1538
84-8	0.3705	0.0000	0.0882	0.5405	0.1957	0.6781	0.4915	0.7136	0.0000	0.1923
85-6	0.3661	0.0000	0.0882	0.6216	0.2174	0.6966	0.4872	0.7185	0.0000	0.1154
86-6	0.4129	0.0000	0.0882	0.6757	0.1522	0.7569	0.4829	0.6568	0.0000	0.1154
87-1	0.3915	0.0000	0.0882	0.6757	0.1739	0.6806	0.5000	0.6222	0.0000	0.1538
88-4	0.3400	0.0000	0.0588	0.6389	0.1304	0.7153	0.5000	0.6667	0.0000	0.0769
89-1	0.4215	0.0000	0.0882	0.6111	0.1522	0.7153	0.4359	0.6494	0.0000	0.0769
90-1	0.4157	0.0000	0.1176	0.6389	0.1957	0.7222	0.4915	0.6272	0.0000	0.1154
91-1	0.4077	0.0000	0.0588	0.6667	0.1739	0.7639	0.4915	0.6272	0.0000	0.1154
92-6	0.4324	0.0000	0.0588	0.6389	0.2174	0.7413	0.4274	0.6370	0.0000	0.1154
93-7	0.3851	0.0000	0.0882	0.6389	0.1522	0.7273	0.4850	0.6568	0.0000	0.1538
94-1	0.4289	0.0000	0.0588	0.6389	0.1957	0.7343	0.4549	0.6444	0.0000	0.0769
95-4	0.4447	0.0000	0.0588	0.8000	0.1739	0.7413	0.4893	0.6469	0.0000	0.1154
96-1	0.4412	0.0000	0.0882	0.6000	0.1739	0.7413	0.4807	0.6074	0.0000	0.0385
97-8	0.4661	0.0000	0.0294	0.7429	0.1739	0.6783	0.4421	0.5916	0.0000	0.0385
98-2	0.4005	0.0000	0.0588	0.6286	0.2174	0.7343	0.4893	0.5941	0.0000	0.0769
99-8	0.4299	0.0000	0.0588	0.6571	0.1522	0.7203	0.4635	0.6179	0.0000	0.1154
100-8	0.4186	0.0000	0.0588	0.6857	0.1739	0.7063	0.4592	0.6194	0.0000	0.0769
101-8	0.4344	0.0000	0.0294	0.6571	0.1739	0.7273	0.4764	0.6334	0.0000	0.1538
102-8	0.3733	0.0000	0.1176	0.6286	0.1739	0.7063	0.4464	0.6625	0.0000	0.1538
103-1	0.4399	0.0000	0.0882	0.6286	0.1739	0.7413	0.4378	0.6325	0.0000	0.1154
104-8	0.4286	0.0000	0.0588	0.6286	0.1304	0.7413	0.5107	0.6366	0.0000	0.1154
105-8	0.4150	0.2500	0.0882	0.6000	0.1957	0.7552	0.4592	0.6181	0.0000	0.1154
106-8	0.3152	0.0000	0.1176	0.6286	0.2174	0.6783	0.4721	0.6952	0.0000	0.0769
107-8	0.3537	0.0000	0.0588	0.6286	0.1522	0.6713	0.4292	0.6869	0.0000	0.1154
108-1	0.3455	0.0000	0.0882	0.6571	0.1957	0.6643	0.3648	0.7020	0.0000	0.1154
109-1	0.3622	0.0000	0.0588	0.7714	0.1957	0.7133	0.4206	0.6970	0.0000	0.1154
110-8	0.3166	0.0000	0.0588	0.7143	0.1957	0.6993	0.3948	0.7316	0.0000	0.0769
111-1	0.3676	0.0000	0.0882	0.6571	0.1304	0.6993	0.4421	0.6785	0.0000	0.1538
112-1	0.3204	0.2500	0.0882	0.6857	0.1304	0.7343	0.3906	0.7139	0.0000	0.0385
113-8	0.3341	0.0000	0.0882	0.6286	0.1522	0.6853	0.3991	0.7386	0.0000	0.1154
114-4	0.3638	0.0000	0.0882	0.6471	0.1739	0.6923	0.4163	0.6954	0.0000	0.1154
115-4	0.3272	0.0000	0.0588	0.6970	0.1739	0.6643	0.3777	0.7208	0.0000	0.0385
116-5	0.3707	0.0000	0.0882	0.7273	0.2889	0.6713	0.3991	0.6650	0.0000	0.1154
117-1	0.3417	0.0000	0.0588	0.6667	0.3111	0.6923	0.3991	0.6929	0.0000	0.0385
118-1	0.3816	0.0000	0.0588	0.7273	0.2889	0.7203	0.4163	0.6624	0.0000	0.0769
119-1	0.3341	0.0000	0.0294	0.6364	0.3111	0.7133	0.4120	0.6929	0.0000	0.1154
120-1	0.3649	0.0000	0.0588	0.6970	0.2889	0.6783	0.4206	0.6929	0.0000	0.0769
121-1	0.3565	0.0000	0.0588	0.5455	0.3111	0.7273	0.4292	0.6675	0.0000	0.0769
122-1	0.3666	0.0000	0.0588	0.6667	0.3111	0.7133	0.4163	0.6726	0.0000	0.0385
123-1	0.3953	0.0000	0.0294	0.6667	0.3111	0.6783	0.4120	0.6371	0.0000	0.0000
124-1	0.3893	0.0000	0.0294	0.6667	0.2889	0.6923	0.4292	0.6675	0.0000	0.0385
125-1	0.4019	0.0000	0.0588	0.7576	0.3333	0.7622	0.4249	0.6320	0.0000	0.0385
126-1	0.4005	0.0000	0.0588	0.8182	0.3333	0.7413	0.3948	0.6269	0.0000	0.0000
127-8	0.3958	0.2500	0.0882	0.6667	0.3556	0.6993	0.3948	0.6438	0.0000	0.1154
128-1	0.4366	0.0000	0.0882	0.6667	0.3333	0.6993	0.4292	0.6641	0.0000	0.0769
129-1	0.3718	0.0000	0.0882	0.6364	0.3111	0.7483	0.3948	0.6489	0.0000	0.0769
130-7	0.3624	0.0000	0.0588	0.6364	0.2444	0.6853	0.4655	0.6260	0.0000	0.0769
131-8	0.3694	0.0000	0.0588	0.7273	0.3111	0.6853	0.4655	0.6582	0.0000	0.0769
132-8	0.3388	0.0000	0.0882	0.7879	0.3333	0.7483	0.4009	0.6650	0.0000	0.0000
133-1	0.3585	0.0000	0.0588	0.6667	0.2889	0.7273	0.4181	0.6394	0.0000	0.0769
134-8	0.3467	0.2500	0.0294	0.6667	0.2444	0.7133	0.4181	0.6718	0.0000	0.0385
135-10	0.3561	0.0000	0.0588	0.7273	0.3111	0.6573	0.4095	0.6949	0.0000	0.1200
136-7	0.3538	0.0000	0.0588	0.5758	0.2222	0.7203	0.4632	0.6590	0.0000	0.0400
137-7	0.3467	0.0000	0.0294	0.6667	0.2667	0.7273	0.4696	0.6538	0.0000	0.0400
138-5	0.3137	0.0000	0.0588	0.6061	0.3182	0.7203	0.5043	0.6615	0.0000	0.0000
139-8	0.3373	0.0000	0.0588	0.7576	0.3636	0.6853	0.4913	0.6812	0.0000	0.0000
140-5	0.3066	0.2500	0.0294	0.6667	0.3488	0.7413	0.5174	0.6787	0.0000	0.0400
141-8	0.3703	0.0000	0.0000	0.7273	0.3721	0.7483	0.4174	0.6727	0.0000	0.0000
142-1	0.3452	0.0000	0.0588	0.6667	0.3953	0.6923	0.4174	0.6727	0.0000	0.0000
143-1	0.3791	0.2500	0.0294	0.6364	0.3256	0.6923	0.4609	0.6418	0.0000	0.0000
144-8	0.3602	0.0000	0.0588	0.5758	0.3953	0.7133	0.4739	0.6512	0.0000	0.0000
145-1	0.3848	0.2500	0.0000	0.6970	0.3953	0.7063	0.4783	0.6512	0.0000	0.0400
146-1	0.3333	0.0000	0.0882	0.7576	0.3488	0.6783	0.3783	0.6615	0.0000	0.0000
147-7	0.3762	0.0000	0.0588	0.6970	0.3721	0.6993	0.4716	0.6408	0.0000	0.0400
148-1	0.3723	0.0000	0.0588	0.6364	0.3721	0.7063	0.4847	0.5943	0.0000	0.0800
149-8	0.3103	0.0000	0.0294	0.7273	0.3721	0.7273	0.4629	0.6684	0.0000	0.0400
150-7	0.3819	0.2500	0.0000	0.6061	0.3721	0.6573	0.5482	0.6477	0.0000	0.0000
