NumberOfSamples	1	2	3	4	5	
96-1	0.9842	0.7468	0.5000	0.8780	0.6600
97-1	0.9848	0.7179	0.5000	0.8780	0.6600
98-3	0.9856	0.6763	0.4737	0.8659	0.6600
99-5	0.9866	0.7308	0.4737	0.8780	0.6566
100-1	0.9825	0.6731	0.4737	0.8902	0.6768
101-1	0.9872	0.7212	0.4211	0.8780	0.6768
102-1	0.9854	0.7340	0.4211	0.8902	0.6667
103-2	0.9860	0.8103	0.4211	0.8902	0.6465
104-1	0.9876	0.7910	0.4211	0.8659	0.6566
105-1	0.9858	0.8071	0.4211	0.8780	0.6566
106-2	0.9858	0.8677	0.4211	0.8659	0.6566
107-1	0.9876	0.8548	0.3684	0.8902	0.6566
108-1	0.9835	0.8581	0.4211	0.8902	0.6667
109-1	0.9850	0.8581	0.4211	0.8780	0.6566
110-2	0.9804	0.8706	0.4211	0.8659	0.6768
111-1	0.9823	0.8706	0.4211	0.8780	0.6566
112-5	0.9759	0.8641	0.4211	0.8902	0.7041
113-5	0.9765	0.8673	0.4211	0.8902	0.7010
114-1	0.9839	0.8608	0.4211	0.8780	0.7113
115-1	0.9829	0.8511	0.4211	0.8537	0.6082
116-2	0.9866	0.8669	0.4211	0.8659	0.5876
117-2	0.9852	0.8827	0.4211	0.8780	0.6186
118-2	0.9829	0.8889	0.4211	0.8659	0.5979
119-1	0.9868	0.8889	0.4211	0.8537	0.5670
120-5	0.9831	0.8889	0.4211	0.8415	0.6042
121-1	0.9821	0.8889	0.4211	0.8659	0.6250
122-2	0.9816	0.8885	0.4211	0.8659	0.6250
123-1	0.9849	0.8885	0.4211	0.8537	0.6146
124-1	0.9849	0.8885	0.4211	0.8780	0.6250
125-5	0.9808	0.8885	0.3684	0.8537	0.6526
126-2	0.9752	0.9211	0.4211	0.8537	0.6842
127-1	0.9837	0.9145	0.3684	0.8537	0.6842
128-1	0.9880	0.9178	0.3684	0.8659	0.6737
129-3	0.9874	0.9178	0.3889	0.8537	0.6842
130-1	0.9886	0.9178	0.3889	0.8537	0.6632
131-1	0.9847	0.9046	0.3889	0.8293	0.6842
132-4	0.9862	0.9046	0.3889	0.8642	0.6737
133-1	0.9849	0.8980	0.3889	0.8889	0.5895
134-1	0.9878	0.9013	0.3889	0.8642	0.6000
135-2	0.9826	0.9175	0.3889	0.8765	0.6211
136-3	0.9857	0.9142	0.4118	0.8519	0.6000
137-1	0.9878	0.9208	0.4118	0.8642	0.5789
138-5	0.9839	0.9208	0.4118	0.8519	0.6383
139-2	0.9810	0.9205	0.4118	0.8642	0.6383
140-2	0.9822	0.9203	0.4118	0.8519	0.6702
141-5	0.9843	0.9203	0.4118	0.8519	0.6237
142-1	0.9822	0.9203	0.4118	0.8519	0.6022
143-1	0.9841	0.9037	0.4118	0.8642	0.6237
144-1	0.9849	0.9269	0.4118	0.8519	0.6237
145-5	0.9816	0.9236	0.4118	0.8642	0.6413
146-1	0.9779	0.9269	0.4118	0.8519	0.6196
147-5	0.9828	0.9269	0.4118	0.7037	0.6264
148-4	0.9770	0.9269	0.4118	0.8375	0.6484
149-2	0.9833	0.9300	0.4118	0.8500	0.6374
150-2	0.9760	0.9298	0.4118	0.8500	0.6374
